quantidade;digital;quick;bubble
450000;0.681000;0.085000;-1.000000
460000;0.711000;0.085000;-1.000000
470000;0.788000;0.088000;-1.000000
480000;0.914000;0.096000;-1.000000
490000;0.890000;0.095000;-1.000000
500000;0.816000;0.093000;-1.000000
10000;0.002000;0.001000;-1.000000
20000;0.005000;0.003000;-1.000000
30000;0.008000;0.004000;-1.000000
40000;0.010000;0.007000;-1.000000
50000;0.013000;0.008000;-1.000000
60000;0.016000;0.009000;-1.000000
70000;0.019000;0.012000;-1.000000
80000;0.046000;0.013000;-1.000000
90000;0.024000;0.015000;-1.000000
100000;0.048000;0.017000;-1.000000
110000;0.046000;0.019000;-1.000000
120000;0.053000;0.021000;-1.000000
130000;0.066000;0.023000;-1.000000
140000;0.093000;0.026000;-1.000000
150000;0.070000;0.028000;-1.000000
160000;0.094000;0.030000;-1.000000
170000;0.094000;0.031000;-1.000000
180000;0.092000;0.032000;-1.000000
190000;0.110000;0.034000;-1.000000
200000;0.126000;0.037000;-1.000000
210000;0.132000;0.037000;-1.000000
220000;0.153000;0.039000;-1.000000
230000;0.185000;0.041000;-1.000000
240000;0.222000;0.046000;-1.000000
250000;0.242000;0.046000;-1.000000
260000;0.233000;0.047000;-1.000000
270000;0.256000;0.050000;-1.000000
280000;0.273000;0.051000;-1.000000
290000;0.326000;0.053000;-1.000000
300000;0.325000;0.054000;-1.000000
310000;0.355000;0.057000;-1.000000
320000;0.373000;0.058000;-1.000000
330000;0.390000;0.062000;-1.000000
340000;0.424000;0.062000;-1.000000
350000;0.450000;0.065000;-1.000000
360000;0.522000;0.074000;-1.000000
370000;0.516000;0.068000;-1.000000
380000;0.503000;0.071000;-1.000000
390000;0.528000;0.071000;-1.000000
400000;0.550000;0.073000;-1.000000
410000;0.578000;0.076000;-1.000000
420000;0.602000;0.078000;-1.000000
430000;0.633000;0.081000;-1.000000
440000;0.664000;0.083000;-1.000000
450000;0.690000;0.086000;-1.000000
460000;0.727000;0.087000;-1.000000
470000;0.737000;0.088000;-1.000000
480000;0.790000;0.091000;-1.000000
490000;0.784000;0.092000;-1.000000
500000;0.800000;0.094000;-1.000000
